ip,cn,id,name,country,dns,port_forward,protocol,offline
62.133.47.18,kazakhstan402,kazakhstan,Kazakhstan,KZ,kazakhstan.privacy.network,True,ikev2,
62.133.47.14,kazakhstan402,kazakhstan,Kazakhstan,KZ,kazakhstan.privacy.network,True,meta,
62.133.47.25,kazakhstan402,kazakhstan,Kazakhstan,KZ,kazakhstan.privacy.network,True,ovpntcp,
62.133.47.23,kazakhstan402,kazakhstan,Kazakhstan,KZ,kazakhstan.privacy.network,True,ovpnudp,
62.133.47.16,kazakhstan402,kazakhstan,Kazakhstan,KZ,kazakhstan.privacy.network,True,wg,
223.252.34.60,brisbane401,au_brisbane-pf,AU Brisbane,AU,au-brisbane-pf.privacy.network,True,ikev2,
223.252.34.34,brisbane401,au_brisbane-pf,AU Brisbane,AU,au-brisbane-pf.privacy.network,True,meta,
223.252.34.46,brisbane401,au_brisbane-pf,AU Brisbane,AU,au-brisbane-pf.privacy.network,True,ovpntcp,
223.252.34.38,brisbane401,au_brisbane-pf,AU Brisbane,AU,au-brisbane-pf.privacy.network,True,ovpnudp,
223.252.34.45,brisbane401,au_brisbane-pf,AU Brisbane,AU,au-brisbane-pf.privacy.network,True,wg,
154.6.92.6,oregon401,us_oregon-pf,US Oregon,US,us-oregon-pf.privacy.network,False,ikev2,
154.6.92.2,oregon401,us_oregon-pf,US Oregon,US,us-oregon-pf.privacy.network,False,meta,
154.6.92.12,oregon401,us_oregon-pf,US Oregon,US,us-oregon-pf.privacy.network,False,ovpntcp,
154.6.92.19,oregon401,us_oregon-pf,US Oregon,US,us-oregon-pf.privacy.network,False,ovpnudp,
154.6.92.15,oregon401,us_oregon-pf,US Oregon,US,us-oregon-pf.privacy.network,False,wg,
146.70.38.111,buenosaires411,ar,Argentina,AR,ar.privacy.network,True,ikev2,
146.70.38.101,buenosaires411,ar,Argentina,AR,ar.privacy.network,True,meta,
146.70.38.109,buenosaires411,ar,Argentina,AR,ar.privacy.network,True,ovpntcp,
146.70.38.109,buenosaires411,ar,Argentina,AR,ar.privacy.network,True,ovpnudp,
146.70.38.102,buenosaires411,ar,Argentina,AR,ar.privacy.network,True,wg,
178.175.128.38,chisinau402,md,Moldova,MD,md.privacy.network,True,ikev2,
178.175.128.34,chisinau402,md,Moldova,MD,md.privacy.network,True,meta,
178.175.128.42,chisinau402,md,Moldova,MD,md.privacy.network,True,ovpntcp,
178.175.128.43,chisinau402,md,Moldova,MD,md.privacy.network,True,ovpnudp,
178.175.128.41,chisinau402,md,Moldova,MD,md.privacy.network,True,wg,
181.214.165.226,chicago410,us_chicago,US Chicago,US,us-chicago.privacy.network,False,ikev2,
181.214.165.190,chicago410,us_chicago,US Chicago,US,us-chicago.privacy.network,False,meta,
181.214.165.210,chicago410,us_chicago,US Chicago,US,us-chicago.privacy.network,False,ovpntcp,
181.214.165.191,chicago410,us_chicago,US Chicago,US,us-chicago.privacy.network,False,ovpnudp,
181.214.165.233,chicago410,us_chicago,US Chicago,US,us-chicago.privacy.network,False,wg,
191.96.106.65,losangeles412,us_california,US California,US,us-california.privacy.network,False,ikev2,
191.96.106.3,losangeles412,us_california,US California,US,us-california.privacy.network,False,meta,
191.96.106.61,losangeles412,us_california,US California,US,us-california.privacy.network,False,ovpntcp,
191.96.106.69,losangeles412,us_california,US California,US,us-california.privacy.network,False,ovpnudp,
191.96.106.49,losangeles412,us_california,US California,US,us-california.privacy.network,False,wg,
45.133.172.210,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,ikev2,
45.133.172.194,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,meta,
45.133.172.202,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,ovpntcp,
45.133.172.209,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,ovpnudp,
45.133.172.211,manchester425,uk_manchester,UK Manchester,GB,uk-manchester.privacy.network,True,wg,
154.6.85.131,iowa401,us_iowa-pf,US Iowa,US,us-iowa-pf.privacy.network,False,ikev2,
154.6.85.130,iowa401,us_iowa-pf,US Iowa,US,us-iowa-pf.privacy.network,False,meta,
154.6.85.132,iowa401,us_iowa-pf,US Iowa,US,us-iowa-pf.privacy.network,False,ovpntcp,
154.6.85.142,iowa401,us_iowa-pf,US Iowa,US,us-iowa-pf.privacy.network,False,ovpnudp,
154.6.85.152,iowa401,us_iowa-pf,US Iowa,US,us-iowa-pf.privacy.network,False,wg,
138.199.59.195,warsaw413,poland,Poland,PL,poland.privacy.network,True,ikev2,
138.199.59.193,warsaw413,poland,Poland,PL,poland.privacy.network,True,meta,
138.199.59.219,warsaw413,poland,Poland,PL,poland.privacy.network,True,ovpntcp,
138.199.59.220,warsaw413,poland,Poland,PL,poland.privacy.network,True,ovpnudp,
138.199.59.195,warsaw413,poland,Poland,PL,poland.privacy.network,True,wg,
185.253.162.24,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,ikev2,
185.253.162.15,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,meta,
185.253.162.17,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,ovpntcp,
185.253.162.21,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,ovpnudp,
185.253.162.24,cyprus404,cyprus,Cyprus,CY,cyprus.privacy.network,True,wg,
188.215.235.123,cambodia402,cambodia,Cambodia,KH,cambodia.privacy.network,True,ikev2,
188.215.235.114,cambodia402,cambodia,Cambodia,KH,cambodia.privacy.network,True,meta,
188.215.235.123,cambodia402,cambodia,Cambodia,KH,cambodia.privacy.network,True,ovpntcp,
188.215.235.115,cambodia402,cambodia,Cambodia,KH,cambodia.privacy.network,True,ovpnudp,
188.215.235.118,cambodia402,cambodia,Cambodia,KH,cambodia.privacy.network,True,wg,
102.129.152.30,miami417,us_florida,US Florida,US,us-florida.privacy.network,False,ikev2,
102.129.152.2,miami417,us_florida,US Florida,US,us-florida.privacy.network,False,meta,
102.129.152.15,miami417,us_florida,US Florida,US,us-florida.privacy.network,False,ovpntcp,
102.129.152.16,miami417,us_florida,US Florida,US,us-florida.privacy.network,False,ovpnudp,
102.129.152.12,miami417,us_florida,US Florida,US,us-florida.privacy.network,False,wg,
154.6.81.152,louisiana401,us_louisiana-pf,US Louisiana,US,us-louisiana-pf.privacy.network,False,ikev2,
154.6.81.130,louisiana401,us_louisiana-pf,US Louisiana,US,us-louisiana-pf.privacy.network,False,meta,
154.6.81.148,louisiana401,us_louisiana-pf,US Louisiana,US,us-louisiana-pf.privacy.network,False,ovpntcp,
154.6.81.153,louisiana401,us_louisiana-pf,US Louisiana,US,us-louisiana-pf.privacy.network,False,ovpnudp,
154.6.81.151,louisiana401,us_louisiana-pf,US Louisiana,US,us-louisiana-pf.privacy.network,False,wg,
154.6.80.7,alabama401,us_alabama-pf,US Alabama,US,us-alabama-pf.privacy.network,False,ikev2,
154.6.80.2,alabama401,us_alabama-pf,US Alabama,US,us-alabama-pf.privacy.network,False,meta,
154.6.80.11,alabama401,us_alabama-pf,US Alabama,US,us-alabama-pf.privacy.network,False,ovpntcp,
154.6.80.20,alabama401,us_alabama-pf,US Alabama,US,us-alabama-pf.privacy.network,False,ovpnudp,
154.6.80.3,alabama401,us_alabama-pf,US Alabama,US,us-alabama-pf.privacy.network,False,wg,
95.181.234.32,qatar402,qatar,Qatar,QA,qatar.privacy.network,True,ikev2,
95.181.234.26,qatar402,qatar,Qatar,QA,qatar.privacy.network,True,meta,
95.181.234.33,qatar402,qatar,Qatar,QA,qatar.privacy.network,True,ovpntcp,
95.181.234.29,qatar402,qatar,Qatar,QA,qatar.privacy.network,True,ovpnudp,
95.181.234.31,qatar402,qatar,Qatar,QA,qatar.privacy.network,True,wg,
37.19.197.231,newjersey424,us-newjersey,US East,US,us-newjersey.privacy.network,False,ikev2,
37.19.197.219,newjersey424,us-newjersey,US East,US,us-newjersey.privacy.network,False,meta,
37.19.197.236,newjersey424,us-newjersey,US East,US,us-newjersey.privacy.network,False,ovpntcp,
37.19.197.223,newjersey424,us-newjersey,US East,US,us-newjersey.privacy.network,False,ovpnudp,
37.19.197.231,newjersey424,us-newjersey,US East,US,us-newjersey.privacy.network,False,wg,
86.107.104.231,hongkong402,hk,Hong Kong,HK,hk.privacy.network,True,ikev2,
86.107.104.226,hongkong402,hk,Hong Kong,HK,hk.privacy.network,True,meta,
86.107.104.235,hongkong402,hk,Hong Kong,HK,hk.privacy.network,True,ovpntcp,
86.107.104.232,hongkong402,hk,Hong Kong,HK,hk.privacy.network,True,ovpnudp,
86.107.104.229,hongkong402,hk,Hong Kong,HK,hk.privacy.network,True,wg,
188.214.125.180,philippines403,philippines,Philippines,PH,philippines.privacy.network,True,ikev2,
188.214.125.178,philippines403,philippines,Philippines,PH,philippines.privacy.network,True,meta,
188.214.125.183,philippines403,philippines,Philippines,PH,philippines.privacy.network,True,ovpntcp,
188.214.125.188,philippines403,philippines,Philippines,PH,philippines.privacy.network,True,ovpnudp,
188.214.125.184,philippines403,philippines,Philippines,PH,philippines.privacy.network,True,wg,
154.47.16.119,colombia403,bogota,Colombia,CO,bogota.privacy.network,True,ikev2,
154.47.16.97,colombia403,bogota,Colombia,CO,bogota.privacy.network,True,meta,
154.47.16.122,colombia403,bogota,Colombia,CO,bogota.privacy.network,True,ovpntcp,
154.47.16.122,colombia403,bogota,Colombia,CO,bogota.privacy.network,True,ovpnudp,
154.47.16.98,colombia403,bogota,Colombia,CO,bogota.privacy.network,True,wg,
77.81.142.247,mexico413,mexico,Mexico,MX,mexico.privacy.network,True,ikev2,
77.81.142.241,mexico413,mexico,Mexico,MX,mexico.privacy.network,True,meta,
77.81.142.244,mexico413,mexico,Mexico,MX,mexico.privacy.network,True,ovpntcp,
77.81.142.243,mexico413,mexico,Mexico,MX,mexico.privacy.network,True,ovpnudp,
77.81.142.245,mexico413,mexico,Mexico,MX,mexico.privacy.network,True,wg,
154.6.86.35,michigan402,us_michigan-pf,US Michigan,US,us-michigan-pf.privacy.network,False,ikev2,
154.6.86.29,michigan402,us_michigan-pf,US Michigan,US,us-michigan-pf.privacy.network,False,meta,
154.6.86.51,michigan402,us_michigan-pf,US Michigan,US,us-michigan-pf.privacy.network,False,ovpntcp,
154.6.86.38,michigan402,us_michigan-pf,US Michigan,US,us-michigan-pf.privacy.network,False,ovpnudp,
